,player_id,FirstLastTeam,Playing.for,DvP_position,Position,uf_position,games_played,dt_avg,disp_avg,risk,team_disp,usage,Season,highest_avg,talent,form
108,CharlieBallard12625,CBallardGCS,Gold Coast,GenD,MID,DEF,14,56,13,64,339.9,3.82465431,2019,55.85714286,55.92857143,58
115,ChrisBurgess12705,CBurgessGCS,Gold Coast,KeyD,DEF,DEF,11,37,9,50,339.9,2.647837599,2019,37,37,42.75
119,ChristianSalem12272,CSalemMEL,Melbourne,GenD,DEF,DEF,13,90,24,59,386.2,6.214396686,2019,89.69230769,90,86.5
122,ConnorBlakely12397,CBlakelyFRE,Fremantle,Mid,MID,DEF,13,75,20,59,363.1,5.508124484,2019,75.07692308,82.83333333,74.63636364
123,ConnorIdun12750,CIdunGWS,Greater Western Sydney,GenD,DEF,DEF,1,33,8,5,377.9,2.116962159,2019,33,33,33
126,ConorGlass12561,CGlassHAW,Hawthorn,GenD,DEF,DEF,6,52,14,27,376.5,3.718459495,2019,52.33333333,52.75,58
127,ConorMcKenna12391,CMcKennaESS,Essendon,GenD,DEF,DEF,14,73,21,64,381.6,5.503144654,2019,72.92857143,72.96428571,76.18181818
129,CoreyEllis12346,CEllisGCS,Gold Coast,GenD,MID,DEF,4,62,18,18,339.9,5.295675199,2019,62,62,62
135,DaneRampe12140,DRampeSYD,Sydney,GenD,DEF,DEF,14,86,21,64,371.7,5.649717514,2019,86.21428571,86.10714286,84.54545455
137,DanHouston12495,DHoustonPOR,Port Adelaide,GenD,DEF,DEF,14,83,22,64,375.5,5.85885486,2019,83.35714286,83.17857143,83.72727273
138,DanielHowe12360,DHoweHAW,Hawthorn,Mid,MID,DEF,8,63,15,36,376.5,3.984063745,2019,63.375,72.55555556,63.375
140,DanielMcKenzie12350,DMcKenzieSTK,St Kilda,GenD,MID,DEF,9,39,10,41,388.7,2.572678158,2019,39.44444444,47.11538462,35.28571429
143,DanielRich11725,DRichBRI,Brisbane Lions,GenD,DEF,DEF,15,88,22,68,373.5,5.890227577,2019,87.53333333,87.76666667,86.91666667
145,DanielTalia11989,DTaliaADE,Adelaide,KeyD,DEF,DEF,15,59,12,68,383,3.133159269,2019,58.8,58.9,58.33333333
148,DarcyByrne-Jones12422,DByrne-JonesPOR,Port Adelaide,NA,NA,DEF,15,89,24,68,375.5,6.391478029,2019,88.93333333,88.96666667,87.5
151,DarcyGardiner12267,DGardinerBRI,Brisbane Lions,KeyD,DEF,DEF,15,59,13,68,373.5,3.480589023,2019,59.13333333,59.73076923,57
154,DarcyMoore12372,DMooreCOL,Collingwood,GenD,FWD,DEF,9,51,13,41,399.2,3.256513026,2019,51,58.21428571,50.71428571
157,DarraghJoyce12654,DJoyceSTK,St Kilda,KeyD,DEF,DEF,2,49,16,9,388.7,4.116285053,2019,49,49,58
159,DavidAstbury11828,DAstburyRIC,Richmond,KeyD,DEF,DEF,13,51,13,59,366.8,3.544165758,2019,50.84615385,58.2,51.3
161,DavidMackay11634,DMackayADE,Adelaide,NA,NA,DEF,11,65,17,50,383,4.438642298,2019,65.27272727,66.88461538,65.22222222
171,DerekEggmolesse-Smith12741,DEggmolesse-SmithRIC,Richmond,NA,NA,DEF,2,58,18,9,366.8,4.907306434,2019,58,58,58
180,DylanGrimes11879,DGrimesRIC,Richmond,KeyD,DEF,DEF,15,53,12,68,366.8,3.271537623,2019,52.86666667,54.85714286,56.25
