player_id,Playing.for,uf_position,dt_avg,disp_avg,risk,usage,talent,form,model_raw,projected,adp
JoshCorbett12719,Gold Coast,FWD,34,7,23,2.059429244,34,29.33333333,10.969601911985867,19.687824094153743,-32.3121759058463
JoshSchache12416,Western Bulldogs,FWD,61,11,50,2.837977296,60.95454545,63.2,28.45020382510542,51.06134323247236,-0.93865676752764
JoshSchoenfeld12466,Gold Coast,FWD,31,10,5,2.942041777,43.66666667,59,19.04261388178222,34.176958781683595,-17.8230412183164
JoshThomas12144,Collingwood,FWD,59,15,59,3.75751503,64.03333333,62.9,31.632981270812913,56.773671080346396,4.7736710803464
JustinWesthoff11579,Port Adelaide,FWD,82,18,59,4.793608522,93.26666667,78.4,45.00004066433624,80.7643606338336,28.7643606338336
JySimpkin12502,North Melbourne,FWD,64,18,68,4.892633868,76.5,65,38.47119391351886,69.04663492244451,17.0466349224445
KadeChandler12756,Melbourne,FWD,60,7,5,1.812532367,60,60,22.287702962953695,40.00112118179361,-11.9988788182064
KaneFarrell12664,Port Adelaide,FWD,39,7,23,1.864181092,44.2,40.66666667,15.683583617506828,28.14829908185128,-23.8517009181487
KaneLambert12333,Richmond,FWD,83,21,50,5.72519084,85.67857143,79.9,43.80769481439438,78.6243836737399,26.6243836737399
KayneTurner12304,North Melbourne,FWD,55,12,64,3.261755912,56.125,55.09090909,27.432211555156528,49.23428944321286,-2.76571055678714
KyleDunkley12742,Melbourne,FWD,49,10,23,2.589331952,49,49,19.809372819539178,35.55310854630584,-16.4468914536942
KyleLangford12349,Essendon,FWD,70,17,68,4.454926625,76,66.75,37.86456048987987,67.9578723374332,15.9578723374332
LachieSchultz12700,Fremantle,FWD,49,12,27,3.30487469,49,42.2,20.200612286664725,36.25529025438059,-15.7447097456194
LachieWhitfield12143,Greater Western Sydney,FWD,109,28,50,7.409367558,109,112,59.282830662348545,106.39856863069414,54.3985686306941
LachlanKeeffe11991,Greater Western Sydney,FWD,44,8,41,2.116962159,43.88888889,39.57142857,17.264157083471897,30.98505219426881,-21.0149478057312
LachlanMurphy12585,Adelaide,FWD,50,10,64,2.610966057,57,53.63636364,26.3396512549182,47.27340379066743,-4.72659620933257
LanceFranklin4065,Sydney,FWD,68,11,32,2.959375841,83.03333333,83.25,37.39809252891005,67.1206733912164,15.1206733912164
LeviCasboult12114,Carlton,FWD,71,12,59,3.458213256,76.5,72.27272727,36.53197553786025,65.5661995733366,13.5661995733366
LiamBaker12661,Richmond,FWD,66,17,45,4.634678299,66.05,57.375,31.707014961825106,56.90654393183031,4.90654393183031
LiamRyan12600,West Coast,FWD,55,12,68,3.369839933,73,55.83333333,33.236913271069,59.65234720126584,7.65234720126584
LincolnMcCarthy12090,Brisbane Lions,FWD,64,13,68,3.480589023,63.93333333,65.41666667,32.26855434580915,57.914373450396305,5.9143734503963
LukeBreust11954,Hawthorn,FWD,64,14,68,3.718459495,73.36666667,65.5,35.58372933331477,63.86432336827197,11.864323368272
LukeDahlhaus11974,Geelong,FWD,78,18,64,4.735595896,80.76666667,75.27272727,40.933479998509206,73.46585229238427,21.4658522923843
LukeDavies-Uniacke12590,North Melbourne,FWD,54,15,45,4.07719489,54,53,26.314893465880317,47.22896945299056,-4.77103054700944
MabiorChol12485,Richmond,FWD,55,8,41,2.181025082,54.88888889,54.77777778,23.32363905953045,41.86037986828273,-10.1396201317173
MasonCox12428,Collingwood,FWD,50,9,45,2.254509018,59.33333333,50,24.321060274882775,43.650513511526185,-8.34948648847381
MasonWood12312,North Melbourne,FWD,60,12,55,3.261755912,62.3,56.11111111,28.784891187315456,51.66202737457672,-0.337972625423284
MattBuntine12082,Greater Western Sydney,FWD,59,12,14,3.175443239,59,59,24.860122144338455,44.61800124233553,-7.38199875766447
MatthewKennedy12455,Carlton,FWD,49,11,45,3.170028818,57.625,49.875,25.343868497106506,45.48621078867099,-6.51378921132901
MatthewParker12702,St Kilda,FWD,60,12,45,3.08721379,59.8,55.71428571,26.858220320351897,48.204111816614386,-3.79588818338561
MatthewTaberner12205,Fremantle,FWD,92,18,9,4.957312035,91.75,92,43.15038410552372,77.44466742557695,25.444667425577
MichaelGibbons12685,Carlton,FWD,66,16,64,4.610951009,65.78571429,67.81818182,34.86202624458121,62.569038127002756,10.5690381270028
MichaelWalters11763,Fremantle,FWD,94,22,68,6.058936932,94.13333333,93.41666667,50.69070122250298,90.97774166148142,38.9777416614814
MitchCrowden12604,Fremantle,FWD,56,12,23,3.30487469,56.1,56.2,24.432272855179715,43.850113618759856,-8.14988638124014
