FirstLastTeam,ID,First Intial,First Name,Last Name,Team,DvP Position,Position,Height,Weight
LValenteFRE,878,L,Luke,Valente,FRE,Mid,MID,,
MApenessFRE,253,M,Michael,Apeness,FRE,Ruck,FWD,,
MCrowdenFRE,254,M,Mitchell,Crowden,FRE,Mid,MID,,
MJohnsonFRE,255,M,Michael,Johnson,FRE,KeyD,DEF,,
MTabernerFRE,256,M,Matt,Taberner,FRE,KeyF,FWD,199,97
MWaltersFRE,257,M,Michael,Walters,FRE,Mid,MID,,
NFyfeFRE,258,N,Nat,Fyfe,FRE,Mid,MID,,
NWilsonFRE,259,N,Nathan,Wilson,FRE,GenD,DEF,,
RNyhuisFRE,260,R,Ryan,Nyhuis,FRE,GenD,DEF,,
RLobbFRE,392,R,Rory,Lobb,FRE,Ruck,RU,,
RConcaFRE,618,R,Reece,Conca,FRE,GenD,DEF,,
SDarcyFRE,261,S,Sean,Darcy,FRE,Ruck,RU,,
SGiroFRE,262,S,Stefan,Giro,FRE,Mid,MID,,
SHillFRE,263,S,Stephen,Hill,FRE,Mid,MID,,
SJonesFRE,264,S,Scott,Jones,FRE,KeyF,RU,,
SKerstenFRE,265,S,Shane,Kersten,FRE,KeyF,FWD,191,90
SSwitkowskiFRE,266,S,Sam,Switkowski,FRE,GenF,FWD,,
SSturtFRE,879,S,Sam,Sturt,FRE,GenF,FWD,,
TColyerFRE,223,T,Travis,Colyer,FRE,MF,MID,,
TDumanFRE,267,T,Taylin,Duman,FRE,GenD,DEF,,
TNorthFRE,268,T,Tom,North,FRE,Mid,MID,,
TWatsonFRE,880,T,Tobe,Watson,FRE,KeyD,DEF,,
ASextonGCS,271,A,Alex,Sexton,GCS,GenF,FWD,,
AYoungGCS,272,A,Aaron,Young,GCS,GenF,FWD,,
AMilesGCS,584,A,Anthony,Miles,GCS,MID,MID,,
BAinsworthGCS,273,B,Ben,Ainsworth,GCS,Mid,MID,,
BCrossleyGCS,274,B,Brayden,Crossley,GCS,Ruck,RU,,
BFioriniGCS,275,B,Brayden,Fiorini,GCS,Mid,MID,,
BScheerGCS,276,B,Brad,Scheer,GCS,Mid,MID,,
BKingGCS,923,B,Ben,King,GCS,KeyD,FWD,,
CCheeGCS,277,C,Callum,Ah,GCS,Mid,FWD,,
CBallardGCS,278,C,Charlie,Ballard,GCS,GenD,MID,,
CNuttingGCS,279,C,Connor,Nutting,GCS,GenD,DEF,,
CEllisGCS,591,C,Corey,Ellis,GCS,GenD,MID,,
CGrahamGCS,857,C,Caleb,Graham,GCS,KeyD,DEF,,
CBurgessGCS,924,C,Chris,Burgess,GCS,KeyD,DEF,,
DMacphersonGCS,280,D,Darcy,MacPherson,GCS,Mid,MID,,
DSwallowGCS,281,D,David,Swallow,GCS,Mid,MID,,
GH-SmithGCS,323,G,George,Horlin-Smith,GCS,Mid,MID,,
HWiggGCS,282,H,Harrison,Wigg,GCS,GenD,DEF,,
INuttingGCS,925,I,Connor,Nutting,GCS,GenD,DEF,,
IRankineGCS,926,I,Izak,Rankine,GCS,GenF,FWD,,
JBowesGCS,283,J,Jack,Bowes,GCS,Mid,MID,,
JDawsonGCS,284,J,Jacob,Dawson,GCS,Mid,MID,,
JHarbrowGCS,285,J,Jarrod,Harbrow,GCS,GenD,DEF,,
JHeronGCS,286,J,Jacob,Heron,GCS,GenD,DEF,,
JJaskaGCS,287,J,Joshua,Jaska,GCS,GenD,DEF,,
JJoyceGCS,288,J,Jesse,Joyce,GCS,Mid,MID,,
JLeslieGCS,289,J,Jack,Leslie,GCS,GenD,DEF,,
JLonerganGCS,290,J,Jesse,Lonergan,GCS,Mid,MID,,
JMartinGCS,292,J,Jack,Martin,GCS,MF,FWD,,
JSchoenfeldGCS,293,J,Joshua,Schoenfeld,GCS,Mid,MID,,
JWittsGCS,295,J,Jarrod,Witts,GCS,Ruck,RU,,
JMurdochGCS,331,J,Jordan,Murdoch,GCS,GenD,MID,,
JHombschGCS,553,J,Jack,Hombsch,GCS,KeyD,DEF,,
JLukosiusGCS,927,J,Jack,Lukosius,GCS,KeyF,FWD,195,85
JMcLennanGCS,928,J,Jez,McLennan,GCS,GenD,DEF,,
JCorbettGCS,929,J,Joshua,Corbett,GCS,GenD,FWD,,
LWellerGCS,297,L,Lachlan,Weller,GCS,Mid,DEF,,
MBarlowGCS,298,M,Michael,Barlow,GCS,Mid,MID,,
MRischitelliGCS,299,M,Michael,Rischitelli,GCS,Mid,MID,,
MRosaGCS,300,M,Matt,Rosa,GCS,Mid,MID,,
MSpencerGCS,301,M,Max,Spencer,GCS,GenD,DEF,,
MWillisGCS,302,M,Mackenzie,Willis,GCS,Mid,MID,,
MRiordanGCS,943,M,Mitch,Riordan,GCS,Mid,MID,,
NHolmanGCS,303,N,Nick,Holman,GCS,MF,MID,,
PHanleyGCS,304,P,Pearce,Hanley,GCS,Mid,MID,,
PWrightGCS,305,P,Peter,Wright,GCS,KeyF,MID,203,103
RThompsonGCS,306,R,Rory,Thompson,GCS,KeyD,DEF,,
SDayGCS,307,S,Sam,Day,GCS,KeyF,FWD,197,102
SLemmensGCS,308,S,Sean,Lemmens,GCS,GenD,DEF,,
SCollinsGCS,930,S,Sam,Collins,GCS,KeyD,DEF,,
TMillerGCS,311,T,Touk,Miller,GCS,Mid,MID,,
TNichollsGCS,312,T,Tom,Nicholls,GCS,Ruck,RU,,
WBrodieGCS,313,W,Will,Brodie,GCS,Mid,MID,,
WPowellGCS,314,W,Wil,Powell,GCS,Mid,MID,,
ABlackGEE,315,A,Aaron,Black,GEE,KeyF,FWD,,
BParfittGEE,316,B,Brandan,Parfitt,GEE,MF,FWD,,
BJarvisGEE,838,B,Ben,Jarvis,GEE,GenF,FWD,,
BSchlensogGEE,839,B,Blake,Schlensog,GEE,Ruck,RU,,
CConstableGEE,317,C,Charlie,Constable,GEE,Mid,MID,,
CGregsonGEE,318,C,Cory,Gregson,GEE,GenF,FWD,,
CGuthrieGEE,319,C,Cameron,Guthrie,GEE,Mid,MID,,
DFortGEE,840,D,Darcy,Fort,GEE,Ruck,RU,,
